Ticker:,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
ARE,2005-07-15,2020-07-10,372828.381,61090.879
ARES,2014-05-02,2020-07-10,72737.161,19933.971
ARGO,2005-07-15,2020-07-10,44970.723,74233.493
ARI,2009-09-23,2020-07-10,74450.978,8087.717
ARKR,2005-07-15,2020-07-10,631.314,289.238
ARL,2005-07-18,2020-07-10,402.386,192.24
ARLO,2018-08-03,2020-07-10,58534.261,116219.783
ARMK,2013-12-12,2020-07-10,571403.571,143375.652
ARMP,2015-08-21,2020-07-10,3385.88,1215.445
ARNA,2005-07-15,2020-07-10,221214.564,84521.672
ARNC,2020-04-01,2020-07-10,293263.57,293263.57
AROC,2007-08-21,2020-07-10,142024.248,374031.164
AROW,2005-07-15,2020-07-10,3977.253,1838.09
ARPO,2017-08-08,2020-07-10,3776.341,275.211
ARR,2007-12-03,2020-07-10,79208.745,2281.846
ARTNA,2005-07-15,2020-07-10,2982.077,442.391
ARTW,2005-07-15,2020-07-10,1102.13,493.947
ARVN,2018-09-27,2020-07-10,78152.95,21598.979
ARW,2005-07-15,2020-07-10,296033.977,181430.893
ARWR,2005-07-15,2020-07-10,101186.885,3450.437
ASB,2005-07-15,2020-07-10,170395.71,79952.364
ASFI,2005-07-15,2020-07-10,5255.146,21618.175
ASGN,2012-08-31,2020-07-10,135071.575,82937.918
ASH,2005-07-15,2020-07-10,460770.538,294020.906
ASIX,2016-09-15,2020-07-10,57718.352,78243.649
ASMB,2010-12-17,2020-07-10,22461.333,7002.798
ASNA,2005-07-15,2020-07-10,197029.039,189634.513
ASPN,2014-06-13,2020-07-10,3852.562,6551.117
ASPS,2009-08-10,2020-07-10,94818.865,38344.947
ASPU,2012-11-13,2020-07-10,2219.617,77.293
ASRT,2005-07-15,2020-07-10,79943.607,23122.734
ASRV,2005-07-15,2020-07-10,547.125,517.199
ASTC,2009-02-17,2020-07-10,5053.58,3144.057
ASTE,2005-07-15,2020-07-10,52074.941,49432.554
ASUR,2005-07-15,2020-07-10,5615.327,2879.197
ASYS,2005-07-15,2020-07-10,10681.033,2103.659
ATEC,2006-06-02,2020-07-10,6413.505,6344.146
ATEN,2014-03-21,2020-07-10,29039.521,45707.368
ATEX,2015-11-10,2020-07-10,18730.843,16453.25
ATGE,2005-07-15,2020-07-10,267537.04,99920.932
ATH,2016-12-09,2020-07-10,553068.677,590724.028
ATHX,2007-12-12,2020-07-10,15198.799,305.573
ATI,2005-07-15,2020-07-10,704577.743,510515.465
ATKR,2016-06-10,2020-07-10,82396.879,70816.742
ATLC,2005-07-15,2020-07-10,32900.178,134721.628
ATLO,2005-07-15,2020-07-10,1566.692,891.886
ATNI,2005-07-15,2020-07-10,22424.719,1165.395
ATNM,2013-06-06,2020-07-10,9387.445,1159.06
ATNX,2017-06-14,2020-07-10,58550.954,36240.464
ATO,2005-07-15,2020-07-10,220618.046,45521.825
ATOS,2012-11-09,2020-07-10,12636.199,4896.231
ATR,2005-07-15,2020-07-10,131788.042,36390.25
ATRA,2014-10-16,2020-07-10,96329.283,56780.59
ATRC,2005-08-05,2020-07-10,23240.015,6564.192
ATRI,2005-07-15,2020-07-10,11571.748,1227.904
ATRO,2005-07-15,2020-07-10,29918.265,775.151
ATRS,2012-06-15,2020-07-10,34496.145,52700.382
ATSG,2005-07-15,2020-07-10,32727.303,29131.21
ATUS,2017-06-22,2020-07-10,921215.854,373461.799
ATVI,2005-07-15,2020-07-10,1885795.569,556604.755
AUB,2014-04-28,2020-07-10,56306.296,23228.472
AUBN,2005-07-15,2020-07-10,739.801,147.229
AUMN,2010-03-19,2020-07-10,7264.491,22422.642
AUTO,2005-07-15,2020-07-10,7298.569,11225.21
AVA,2005-07-15,2020-07-10,86854.98,24368.362
AVAV,2007-01-23,2020-07-10,80303.161,41016.744
AVB,2005-07-15,2020-07-10,791372.309,168301.222
AVD,2005-07-15,2020-07-10,23859.397,6138.593
AVEO,2010-03-12,2020-07-10,34714.531,9257.793
AVGO,2016-02-02,2020-07-10,5250263.775,3329629.627
AVGR,2015-01-30,2020-07-10,10910.426,6463.689
AVID,2005-07-15,2020-07-10,64440.427,359962.548
AVLR,2018-06-15,2020-07-10,510750.29,247805.909
AVNS,2014-10-21,2020-07-10,149691.115,286258.471
AVNW,2010-01-29,2020-07-10,6455.545,19511.565
AVRO,2018-06-21,2020-07-10,42792.257,40020.017
AVT,2018-05-09,2020-07-10,290329.001,378286.617
AVTR,2019-05-17,2020-07-10,539107.515,549101.472
AVXL,2008-01-03,2020-07-10,15257.587,134.184
AVY,2005-07-15,2020-07-10,351826.028,163239.431
AVYA,2017-12-19,2020-07-10,235030.554,229674.398
AWI,2006-10-11,2020-07-10,188520.624,47954.754
AWK,2008-04-23,2020-07-10,425607.845,114163.443
AWR,2005-07-15,2020-07-10,52931.222,14559.554
AWRE,2005-07-15,2020-07-10,1141.34,1639.578
AX,2005-07-15,2020-07-10,84511.133,1954.187
AXAS,2008-07-25,2020-07-10,32653.585,4352.547
AXDX,2012-12-26,2020-07-10,41721.454,5226.971
AXGN,2013-08-09,2020-07-10,44015.892,1920.819
AXL,2005-07-15,2020-07-10,224110.27,190108.423
AXNX,2018-10-31,2020-07-10,98799.381,37062.349
AXP,2005-07-15,2020-07-10,3210052.898,2109158.766
AXR,2005-07-15,2020-07-10,12457.299,2235.613
AXS,2005-07-15,2020-07-10,234075.323,134623.542
AXSM,2015-11-19,2020-07-10,129311.338,3456.706
AXTA,2014-11-12,2020-07-10,561198.182,421387.827
AXTI,2005-07-15,2020-07-10,13347.645,2186.887
AYI,2005-07-15,2020-07-10,405145.384,74364.859
AYX,2017-03-24,2020-07-10,742341.79,80680.709
AZO,2005-07-15,2020-07-10,1337150.597,747519.727
AZPN,2005-07-15,2020-07-10,196790.763,47231.453
AZZ,2005-07-15,2020-07-10,44885.864,2518.938
B,2005-07-15,2020-07-10,80989.11,37051.3
BA,2005-07-15,2020-07-10,6332618.149,1643938.296
BAC,2005-07-15,2020-07-10,15531939.431,3849532.018
BAH,2010-11-17,2020-07-10,244066.35,21416.872
BANC,2011-10-03,2020-07-10,59301.412,1960.213
BAND,2017-11-10,2020-07-10,106675.361,36824.812
BANF,2005-07-15,2020-07-10,11589.65,6237.41
BANR,2005-07-15,2020-07-10,36413.716,5718.637
BASI,2005-07-15,2020-07-10,611.537,555.187
BATRA,2016-04-18,2020-07-10,12665.631,20058.366
BATRK,2016-04-18,2020-07-10,32308.892,50613.282
BAX,2005-07-15,2020-07-10,1695470.474,617085.897
BBBY,2005-07-15,2020-07-10,1103590.712,915627.77
BBCP,2018-12-07,2020-07-10,5415.773,6446.441
BBGI,2005-07-15,2020-07-10,1107.578,1090.224
BBSI,2005-07-15,2020-07-10,17186.509,10534.914
BBW,2005-07-15,2020-07-10,22971.362,61565.041
BBY,2005-07-15,2020-07-10,1740791.304,1559500.608
BC,2005-07-15,2020-07-10,316371.023,277331.78
BCBP,2005-07-18,2020-07-10,1254.703,306.793
BCC,2013-02-06,2020-07-10,98106.143,104570.988
BCEI,2011-12-15,2020-07-10,141662.493,47150.288
BCLI,2005-07-18,2020-07-10,4328.421,134.886
BCO,2005-07-15,2020-07-10,150441.214,195078.265
BCOR,2012-06-07,2020-07-10,72336.974,49642.946
BCOV,2012-02-17,2020-07-10,22576.856,39320.977
BCPC,2005-07-15,2020-07-10,44298.558,4377.561
BCRX,2005-07-15,2020-07-10,77873.606,326546.355
BDC,2005-07-15,2020-07-10,151566.313,52925.043
BDGE,2008-06-09,2020-07-10,6139.792,288.08
BDL,2005-07-15,2020-07-10,428.988,255.589
BDN,2005-07-15,2020-07-10,142948.653,64405.657
BDSI,2005-07-15,2020-07-10,25664.548,1764.373
BDX,2005-07-15,2020-07-10,1222172.889,377590.716
BE,2018-07-25,2020-07-10,181617.145,155192.767
BEAT,2008-03-19,2020-07-10,71795.409,35835.829
BECN,2005-07-15,2020-07-10,148309.007,60759.114
BELFA,2005-07-15,2020-07-10,715.681,894.659
BELFB,2005-07-15,2020-07-10,6236.189,7447.798
BEN,2005-07-15,2020-07-10,826042.942,494963.658
BERY,2012-10-04,2020-07-10,430843.235,88922.613
BFAM,2013-01-25,2020-07-10,171377.219,65513.634
BFIN,2005-07-15,2020-07-10,4618.595,7355.329
BFS,2005-07-15,2020-07-10,13927.478,3962.285
BFST,2018-04-11,2020-07-10,5008.848,7802.789
BG,2005-07-15,2020-07-10,701472.608,390094.631
BGCP,2005-07-15,2020-07-10,57757.348,4414.584
BGFV,2005-07-15,2020-07-10,20013.355,13069.012
BGG,2005-07-15,2020-07-10,71674.913,98574.811
BGS,2007-05-23,2020-07-10,99943.451,9259.135
BGSF,2014-04-29,2020-07-10,6949.478,258.266
BH A,2018-05-01,2020-07-10,24773.944,31137.838
BH,2010-04-09,2020-07-10,219384.302,309661.153
BHB,2005-07-15,2020-07-10,2488.253,281.598
BHE,2005-07-15,2020-07-10,74193.495,115117.398
BHF,2017-07-17,2020-07-10,431184.179,480018.458
BHLB,2005-07-15,2020-07-10,24288.617,3389.931
BHR,2013-11-06,2020-07-10,20294.52,22884.13
BHVN,2017-05-04,2020-07-10,210835.416,62779.522
BIG,2005-07-15,2020-07-10,397083.741,74020.13
BIIB,2005-07-15,2020-07-10,2812082.704,1363221.01
BIO,2005-07-15,2020-07-10,163016.576,38481.636
BIOC,2014-02-05,2020-07-10,26772.275,1602.538
BIOL,2018-05-14,2020-07-10,5147.394,926.357
BJ,2018-06-28,2020-07-10,487310.37,417108.275
BJRI,2005-07-15,2020-07-10,102100.712,16139.694
BK,2005-07-15,2020-07-10,1876694.049,618555.691
BKD,2005-11-22,2020-07-10,275377.223,68036.36
BKE,2005-07-15,2020-07-10,71902.893,7354.364
BKH,2005-07-15,2020-07-10,110507.112,44969.34
BKI,2017-10-02,2020-07-10,414620.89,415384.922
BKNG,2005-07-15,2020-07-10,3983944.614,97166.927
BKSC,2005-07-19,2020-07-10,348.395,260.744
BKTI,2005-07-15,2020-07-10,1891.341,13227.108
BKU,2011-01-31,2020-07-10,178370.14,67254.343
BL,2016-10-28,2020-07-10,159404.532,65672.958
BLBD,2014-03-20,2020-07-10,10953.97,2957.36
BLCM,2014-12-18,2020-07-10,45179.204,87992.023
BLD,2015-06-17,2020-07-10,165940.201,156125.936
BLDR,2005-07-15,2020-07-10,72205.591,37237.554
BLFS,2008-04-14,2020-07-10,10198.221,241.814
BLK,2005-07-15,2020-07-10,1263832.395,119357.734
BLKB,2005-07-15,2020-07-10,94094.62,49276.787
BLL,2005-07-15,2020-07-10,603391.841,187666.578
BLMN,2012-08-08,2020-07-10,236722.957,74095.588
BLUE,2013-06-19,2020-07-10,653677.283,45216.965
BMCH,2015-12-02,2020-07-10,80827.926,48480.881
BMI,2005-07-15,2020-07-10,38880.206,9380.344
BMRC,2005-07-15,2020-07-10,4798.614,806.116
BMRN,2005-07-15,2020-07-10,658233.797,66699.522
BMTC,2005-07-15,2020-07-10,7888.174,956.356
BMY,2005-07-15,2020-07-10,3161261.548,915408.519
